"YY","MM","DD","hh","mm","WDIR","WSPD","GST","WVHT","DPD","APD","MWD","PRES","ATMP","WTMP","DEWP","VIS","PTDY","TIDE","Date"
2021,12,20,2,15,20,5.7,12.9,NA,NA,NA,NA,NA,17,NA,14,8.7,NA,NA,2021-12-20 02:15:00
2021,12,20,1,55,360,5.1,13.4,NA,NA,NA,NA,NA,17,NA,14,8.7,NA,NA,2021-12-20 01:55:00
2021,12,20,1,35,10,4.6,11.8,NA,NA,NA,NA,NA,17,NA,14,8.7,NA,NA,2021-12-20 01:35:00
2021,12,20,1,15,10,6.2,11.3,NA,NA,NA,NA,NA,18,NA,14,8.7,NA,NA,2021-12-20 01:15:00
2021,12,20,0,55,10,6.2,12.4,NA,NA,NA,NA,NA,17,NA,14,8.7,NA,NA,2021-12-20 00:55:00
2021,12,20,0,35,20,7.7,11.3,NA,NA,NA,NA,NA,18,NA,15,8.7,NA,NA,2021-12-20 00:35:00
2021,12,20,0,15,20,11.3,NA,NA,NA,NA,NA,NA,18,NA,14,8.7,NA,NA,2021-12-20 00:15:00
2021,12,19,23,55,20,8.2,11.3,NA,NA,NA,NA,NA,18,NA,14,8.7,NA,NA,2021-12-19 23:55:00
2021,12,19,23,35,350,4.1,10.3,NA,NA,NA,NA,NA,18,NA,15,8.7,NA,NA,2021-12-19 23:35:00
2021,12,19,23,15,NA,3.1,10.3,NA,NA,NA,NA,NA,18,NA,15,8.7,NA,NA,2021-12-19 23:15:00
2021,12,19,22,55,20,8.2,11.3,NA,NA,NA,NA,NA,18,NA,15,8.7,NA,NA,2021-12-19 22:55:00
2021,12,19,22,35,NA,5.1,9.8,NA,NA,NA,NA,NA,18,NA,15,8.7,NA,NA,2021-12-19 22:35:00
2021,12,19,22,15,NA,3.1,10.8,NA,NA,NA,NA,NA,18,NA,15,8.7,NA,NA,2021-12-19 22:15:00
2021,12,19,21,55,360,4.6,11.8,NA,NA,NA,NA,NA,18,NA,15,8.7,NA,NA,2021-12-19 21:55:00
2021,12,19,21,35,10,6.2,12.4,NA,NA,NA,NA,NA,18,NA,15,8.7,NA,NA,2021-12-19 21:35:00
2021,12,19,21,15,20,11.3,NA,NA,NA,NA,NA,NA,18,NA,15,8.7,NA,NA,2021-12-19 21:15:00
