,YY,MM,DD,hh,mm,WDIR,WSPD,ATMP,DEWP,VIS,Date
175,2021,12,19,9,55,60.0,2.1,21.0,19.0,8.7,2021-12-19 09:55:00
176,2021,12,19,9,35,60.0,1.5,21.0,19.0,7.8,2021-12-19 09:35:00
177,2021,12,19,9,15,60.0,2.6,21.0,19.0,8.7,2021-12-19 09:15:00
178,2021,12,19,8,55,60.0,2.6,21.0,20.0,6.1,2021-12-19 08:55:00
179,2021,12,19,8,35,300.0,5.1,21.0,20.0,0.4,2021-12-19 08:35:00
180,2021,12,19,8,15,300.0,6.7,23.0,21.0,7.0,2021-12-19 08:15:00
181,2021,12,19,7,55,210.0,4.1,24.0,21.0,8.7,2021-12-19 07:55:00
182,2021,12,19,7,35,210.0,2.6,24.0,21.0,8.7,2021-12-19 07:35:00
183,2021,12,19,7,15,0.0,2.6,24.0,20.0,8.7,2021-12-19 07:15:00
184,2021,12,19,6,55,220.0,3.6,24.0,20.0,8.7,2021-12-19 06:55:00
185,2021,12,19,6,35,220.0,4.1,24.0,21.0,8.7,2021-12-19 06:35:00
186,2021,12,19,6,15,220.0,3.6,24.0,21.0,8.7,2021-12-19 06:15:00
187,2021,12,19,5,55,220.0,3.1,23.0,22.0,8.7,2021-12-19 05:55:00
188,2021,12,19,5,35,220.0,3.1,24.0,23.0,7.8,2021-12-19 05:35:00
189,2021,12,19,5,15,200.0,5.7,24.0,23.0,7.8,2021-12-19 05:15:00
190,2021,12,19,4,55,210.0,5.7,24.0,23.0,1.3,2021-12-19 04:55:00
191,2021,12,19,4,35,210.0,5.1,24.0,23.0,6.1,2021-12-19 04:35:00
192,2021,12,19,4,15,200.0,6.2,24.0,23.0,6.1,2021-12-19 04:15:00
193,2021,12,19,3,55,200.0,5.1,24.0,23.0,6.1,2021-12-19 03:55:00
194,2021,12,19,3,35,200.0,5.1,24.0,23.0,6.1,2021-12-19 03:35:00
195,2021,12,19,3,15,200.0,3.1,24.0,23.0,6.1,2021-12-19 03:15:00
196,2021,12,19,2,55,190.0,4.6,24.0,23.0,5.2,2021-12-19 02:55:00
197,2021,12,19,2,35,200.0,5.7,24.0,23.0,4.3,2021-12-19 02:35:00
198,2021,12,19,2,15,210.0,6.7,24.0,23.0,6.1,2021-12-19 02:15:00
